UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;NULL;2019-02-22;OK;AGGREGAZIONE;NULL;NULL;5780026;NULL;NULL
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50000000179;1;2016-11-12;NettoEQ: 50.00 NettoDEQ: 50.00 Provv EQ: 0.00Provv DEQ: 1.25TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50000000451;1;2016-10-27;NettoEQ: 150.00 NettoDEQ: 150.00 Provv EQ: 0.00Provv DEQ: 3.75TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50000000451;1;2016-11-27;NettoEQ: 150.00 NettoDEQ: 150.00 Provv EQ: 0.00Provv DEQ: 3.75TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426335;1;2016-11-21;NettoEQ: 100.00 NettoDEQ: 100.00 Provv EQ: 0.00Provv DEQ: 2.50TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426339;1;2016-11-21;NettoEQ: 125.00 NettoDEQ: 125.00 Provv EQ: 0.00Provv DEQ: 3.13TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426343;1;2016-02-21;NettoEQ: 51.65 NettoDEQ: 51.65 Provv EQ: 0.00Provv DEQ: 1.29TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426343;1;2016-03-21;NettoEQ: 51.65 NettoDEQ: 51.65 Provv EQ: 0.00Provv DEQ: 1.29TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426343;1;2016-04-21;NettoEQ: 51.65 NettoDEQ: 51.65 Provv EQ: 0.00Provv DEQ: 1.29TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426343;1;2016-05-21;NettoEQ: 51.65 NettoDEQ: 51.65 Provv EQ: 0.00Provv DEQ: 1.29TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426343;1;2016-06-21;NettoEQ: 51.65 NettoDEQ: 51.65 Provv EQ: 0.00Provv DEQ: 1.29TipoTitolo: 04
