UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;NULL;2019-02-22;OK;AGGREGAZIONE;NULL;NULL;99318643;NULL;NULL
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;02;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG07;50000001006;1;2014-10-09;netto: 48.65 imposta: 0.00 lordo: 50.00
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;02;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG07;50000001011;1;2014-10-09;netto: 48.65 imposta: 0.00 lordo: 50.00
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;02;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG07;50009157260;1;2016-03-24;netto: -50.75 imposta: 0.00 lordo: -50.00
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;02;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAGD7;50000001064;1;2014-07-09;netto: 48.65 imposta: 0.00 lordo: 50.00
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50000000451;1;2012-10-27;netto: 100.02 imposta: 0.00 lordo: 100.00
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004443806;1;2016-02-04;netto: -8.60 imposta: 0.00 lordo: -8.82
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004447380;1;2016-02-05;netto: -8.81 imposta: 0.00 lordo: -9.03
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004451785;1;2016-02-07;netto: -0.51 imposta: 0.00 lordo: -0.52
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004454982;1;2016-02-08;netto: -0.21 imposta: 0.00 lordo: -0.22
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004455638;1;2016-02-09;netto: -0.25 imposta: 0.00 lordo: -0.26
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004458059;1;2016-02-11;netto: -4.21 imposta: 0.00 lordo: -4.32
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004468927;1;2016-02-15;netto: -0.25 imposta: 0.00 lordo: -0.26
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004480079;1;2016-02-21;netto: -2.45 imposta: 0.00 lordo: -2.51
